sqrt_beta,beta,trials,known_match,known_future,hidden_known,hidden_break,not_converged
0.0316227766016838,0.001,100,56,49,43,43,41
0.1,0.01,100,28,23,15,14,69
0.316227766016838,0.1,100,7,7,5,5,92
0.447213595499958,0.2,100,7,3,5,2,93
0.547722557505166,0.3,100,3,1,1,1,97
0.632455532033676,0.4,100,2,1,2,1,98
0.707106781186548,0.5,100,1,0,0,0,99
0.774596669241483,0.6,100,2,1,1,1,98
0.836660026534076,0.7,100,3,2,2,2,97
0.894427190999916,0.8,100,2,0,0,0,98
0.948683298050514,0.9,100,2,1,1,1,98
1,1,100,0,0,0,0,100
